name,invasive
1,0.8
2,0.8
3,0.8
4,0.6
5,0.8
6,1.0
7,0.6
8,0.6
9,0.6
10,0.6
11,1.0
12,1.0
13,0.6
14,0.6
15,0.8
16,0.8
17,0.6
18,0.8
19,1.0
20,0.8
21,0.6
22,1.0
23,0.8
24,0.6
25,0.6
26,0.8
27,0.6
28,0.6
29,1.0
30,1.0
31,0.6
32,1.0
33,0.6
34,1.0
35,0.8
36,0.6
37,0.8
38,1.0
39,0.8
40,0.8
41,0.6
42,1.0
43,0.6
44,0.6
45,0.6
46,0.8
47,1.0
48,0.6
49,0.6
50,0.6
51,0.8
52,1.0
53,0.8
54,0.8
55,0.6
56,0.8
57,0.6
58,0.6
59,1.0
60,0.8
61,0.8
62,0.8
63,0.8
64,0.8
65,1.0
66,1.0
67,0.6
68,0.6
69,0.8
70,0.6
71,0.6
72,0.8
73,0.8
74,0.8
75,1.0
76,1.0
77,0.8
78,0.6
79,0.8
80,0.6
81,1.0
82,0.8
83,0.6
84,1.0
85,0.6
86,1.0
87,0.8
88,0.6
89,0.8
90,0.8
91,0.8
92,1.0
93,1.0
94,0.6
95,1.0
96,0.6
97,0.8
98,0.6
99,0.6
100,0.8
101,0.8
102,0.8
103,0.6
104,0.8
105,0.6
106,0.6
107,0.6
108,0.6
109,0.8
110,1.0
111,0.8
112,1.0
113,0.6
114,0.8
115,0.6
116,0.8
117,0.6
118,0.8
119,0.6
120,0.6
121,0.8
122,0.8
123,0.8
124,0.8
125,0.8
126,0.6
127,0.6
128,0.6
129,0.6
130,1.0
131,0.6
132,1.0
133,0.6
134,0.8
135,1.0
136,0.6
137,0.8
138,0.6
139,0.8
140,0.6
141,0.8
142,1.0
143,0.6
144,0.8
145,1.0
146,1.0
147,1.0
148,0.6
149,0.6
150,1.0
151,0.8
152,0.8
153,0.6
154,0.6
155,0.6
156,0.8
157,1.0
158,0.6
159,1.0
160,1.0
161,0.8
162,0.6
163,0.8
164,0.8
165,0.8
166,0.6
167,1.0
168,1.0
169,0.8
170,0.8
171,0.8
172,0.8
173,0.6
174,0.8
175,0.6
176,0.8
177,1.0
178,1.0
179,0.6
180,0.8
181,0.6
182,0.6
183,0.8
184,0.8
185,1.0
186,1.0
187,0.6
188,0.8
189,0.6
190,0.6
191,0.6
192,0.6
193,0.8
194,0.6
195,0.6
196,0.6
197,0.8
198,0.8
199,0.8
200,0.8
201,0.6
202,0.6
203,0.6
204,0.8
205,0.8
206,0.6
207,0.8
208,1.0
209,0.8
210,0.8
211,0.8
212,0.6
213,0.8
214,0.6
215,0.8
216,1.0
217,1.0
218,0.8
219,0.6
220,0.6
221,0.6
222,0.8
223,1.0
224,0.8
225,1.0
226,0.6
227,0.8
228,0.8
229,0.8
230,0.6
231,0.6
232,0.6
233,0.8
234,1.0
235,1.0
236,0.8
237,0.6
238,0.6
239,0.6
240,0.8
241,1.0
242,0.6
243,0.6
244,0.6
245,0.6
246,1.0
247,1.0
248,1.0
249,0.6
250,0.6
251,0.6
252,0.8
253,1.0
254,0.8
255,0.6
256,0.8
257,0.8
258,0.8
259,0.6
260,0.6
261,0.8
262,0.8
263,0.6
264,0.6
265,0.8
266,0.8
267,0.8
268,0.6
269,0.6
270,0.6
271,0.8
272,0.6
273,0.8
274,1.0
275,0.6
276,0.6
277,0.6
278,0.8
279,0.8
280,0.6
281,0.8
282,0.6
283,0.6
284,0.6
285,1.0
286,0.8
287,0.8
288,0.8
289,0.6
290,0.8
291,0.6
292,0.8
293,1.0
294,1.0
295,0.6
296,1.0
297,0.6
298,0.6
299,0.8
300,0.8
301,0.6
302,1.0
303,0.6
304,0.8
305,0.8
306,0.6
307,0.6
308,0.6
309,0.6
310,0.8
311,1.0
312,0.8
313,1.0
314,0.8
315,0.6
316,0.6
317,0.8
318,0.6
319,0.6
320,0.8
321,0.6
322,0.6
323,0.6
324,0.8
325,0.6
326,0.8
327,0.6
328,0.8
329,1.0
330,0.6
331,0.6
332,0.6
333,0.6
334,0.8
335,0.6
336,0.6
337,0.8
338,1.0
339,1.0
340,1.0
341,0.8
342,0.8
343,1.0
344,1.0
345,0.8
346,0.6
347,0.6
348,0.8
349,0.6
350,1.0
351,0.6
352,0.6
353,0.8
354,0.8
355,0.8
356,0.8
357,0.8
358,1.0
